text,sentiment_class
Best Margaritas in Tampa@ Ybor City,positive
Ask for Rob,neutral
Find a different company. What you see being advertised is just their own opinion. Stay far far away,positive
The best customer service in a long time!!!  Great bread and sandwiches!,positive
Happy hour gives you $3 00 Martinis and 1/2 off food items .,positive
"Buy 10, get 1 free!",positive
Make mine wet!,negative
Is the best place for real mexican tortas,positive
Awesome bartenders! Cool place to hang out.,positive
"Loads of fun! Great food, amazing food, and fun dancing.",positive
Dinner with Jenna and Jessica!,neutral
"It is now called ""The Shoppes at Perry Crossing""",neutral
The frozen European hot chocolate is totally yum.,positive
Ask for help and the girls are usually awesome. Definitely get your Sally's card.,positive
"Been calling 2 days , no answer no return call",neutral
staff is not very friendly and no  refills on drinks,negative
"When first opened food and service was great. Now the place is staffed by people who don't seem to care. Place needs a Bar Rescue. The manager Ian came over to check on us and got our drinks refilled. Ian was good and had our server come and check on us. She was defensive about not getting our appetizers out in a timely manner. She asked if everything was OK and we let her know 25 minutes for appetizer was slow. Appetizer and meals came out hot and tastey. Good food, but service a hit and miss.",positive
Ok,positive
Haven't been open in 2 months....,neutral
"Try the truffles, seriously try the truffles",negative
Nice place,positive
Great Italian food! We had a delicious meal sitting outside. Service was excellent!,positive
Eyes Lips Face cosmetics are sold in the fragrance section! This is one of the few locations in CC that carry this brand.,negative
Redeem Safeway gas rewards points here,neutral
Love the soups,positive
"While waiting to be seated, we got the onion rings. Best I've ever had.",positive
Good poboy.   1/2 shrimp/fish.   Try it.,positive
The pool is underused and a great hangout spot- there is also poolside service for food & drink.,positive
Favorite ice cream shoppe when visiting St. Petes! Great service and ice cream!,positive
House noodles was awesome!!,positive
We are the bensalem's best pizzeria!!!!,positive
Please stop forgetting my hot sauce!,positive
Another fine breakfast,positive
"Jasmine is amazing, clean and long lasting manicures. they always offer water, and if you are cold (someone complained of being hot, which it's never been hot in there. She was going through menopause, So now it's cold) so they offered a blanket to me. Very accommodating.",positive
"Get your oil changed here. The place is nice - free wifi - and even their soda machines take credit/debit cards. 

Not to mention, I was asked if I needed help several times (doesn't always happen at dealerships.) And to top it off, I drove right up and there was no wait.",positive
"Thinnest pizza I've ever eaten - but don't take as a negative. Very, very good pizza. Super long wait but worth it.",positive
"Great food, convo and atmosphere. Get the espresso it's a boost you need and love.",positive
Yay!,neutral
Yee haw!,neutral
Geri X show tonight.,neutral
Great place with great food!,positive
"Clean, fast. Associate was friendly. Food was hot and tasted good.",positive
Best pizza on 7th - take it from a local!,positive
Lo mein to go,neutral
This is a terrible place to do business with. Their delivery crew is awful as well.,negative
"Come here once, you're a tourist. Come here twice, you're family.",neutral
$5 Minimum for debit cards. Download Level Up App!,neutral
Terrible service...waste of time but the food is ok I guess.,negative
Great food with a superb drink menu. The band was very good!,positive
fabulous brunch spot!,positive
30 minutes holiday portrait sessions for $275. Good October-December. Be sure to ask for this deal,positive
new ownership ****,positive
Come here earlier to prevent unnecessary rachetness. If lines are packed at the ticket box office there is a kios with no surcharge in the front.,negative
The address is incorrect! It's actually down the street in the middle of an Arby's and Krytals restaurant! It's also called Fabric Care Center/Speed Queen Laundry!,negative
Go Phillies!!!,neutral
Lots of vintage stuff!,neutral
Tydes is within the Coral Casino.,neutral
Love my gym! Get it in!,positive
Nana's Pot Roast is fantastic the pot roast is prepared perfectly and the gravy is to die for!!. The new blueberry sauce whisky cocktail is so wonderful you can't have just one!!!,positive
Check out the drag shows!,negative
dozen oysters and a beer for 10 bucks? Damn good.,positive
So good!,positive
Once again I can't emphasize enough to how no one should get food from here,neutral
Stay away...stay very far away!!!!,positive
"The Voodoo drink, very fruity&sweet for all the light weights!",positive
Always get my birthday cakes here! Love the raspberry flavor ones!!,positive
"Closed Sunday, Monday, Tuesday, and Wednesday Now! Open Thursday-Saturday only! Neither their website nor yelp has been updated with this! Free Shot W Yelp Check-in!",positive
Second entry for the new South Grand location,positive
Service is great and food is amazing!!  Would go back for sure....,positive
Best really inexpensive breakfast in town,positive
Great bar scene,positive
Order the wings!! They're great!,positive
Heyyyyy $9.99 lunch buffet!,neutral
"Cassata and a cannoli, the best...",positive
Phones always off the hook so don't even bother,neutral
"Terrible, Terrible,Terrible SERVICE! No host outside to seat us had to go inside and ask a server, she blew us off too. Once we were seated we were promptly ignored by the wait staff took forever to get water! Don't think we will be back anytime soon",negative
O por do sol neste restaurante é maravilhoso!!!,neutral
Two thumbs up!! Smoothies rock!,neutral
Not for me....crowded clinic ...not very friendly ..very. confusing ..won't be back,positive
Facilities need attention?,neutral
"Keep on the lookout for BOGO deals (meats, veggies, snacks, etc.) with your Winn Dixie Rewards card. Super savings, literally!",positive
Overpriced slices,neutral
Great ambience. Wide selection tasty food and good service. Does get loud at times.,positive
Just went here for their blueberry latte and blueberry green tea! Delicious!,positive
So far so good. Meal was wonderful. The service was great. they let you take your time and enjoy your meal,positive
"Mojo pork today, with beans and rice, island slaw. Maria is a great new server at Sea Breeze.",positive
Good food and great beers!come back soon to Tampa.,positive
"Super yummy sandwiches, and right next to campus! Totally worth the price.",positive
"Such a nice and relaxing atmosphere, Anthony's facials are heaven..",positive
"Perfect salads, generous portions, great staff",positive
Not very sanitized.,negative
Wonderful experience. Very relaxing. A great massage.,positive
Unisex bathrooms...hate it. Look it take a female 3x a long as it does a guy.,negative
"First visit. Awesome, nice @ attentive. Love Dr. Bevins!",positive
Baklava tastes like shit (no fresh) I'm so disappointed in u,negative
Grrrrrrail!,neutral
No thanks,negative
"A great local, quality breakfast gem!",positive
Seriously will not go anywhere else,negative
Meeting Jamie Williams for wine and conversation!!!!,neutral
Awsome old town place..has everything..can do anything...!,positive
Sun King is releasing their bourbon barrel Timmie at 3!,neutral
I absolutely love this place. Best boba I've had in Boise. Good prices too,positive
Pool time,neutral
"Full menu available all night, right up to 2am! How cool is that?!",positive
Maybe the worst BK in the country. It's an embarrassment to the chain and to Havertown. I stop by every couple of months in the hopes that they've shot the manager and started over.,negative
Love the food. Not very many options,positive
Golf,neutral
JC P closed,negative
"If they are crowded, you may want  to grab a table before you order.",neutral
Not very friendly... I'll stick with my usual store and avoid this one going forward,negative
They only charge $10 a night for a pet so that's relatively cheap.,positive
Awesome place to see indy's punk rock bands on Saturday nights!,positive
"Super fast service, had a cool dog too",positive
Best tomato pie around. Great rolls!,positive
Not bad. Appetizers are worst and main courses ate little expensive for the amount of quantity.,negative
$25 minimum for delivery,neutral
I'll let ya know disappointed they are out of wings...how does that happen??? Update had the calamari instead and was very surprised nice big pieces of calamari and good marinara...burger was great I had the melt cooked to order which is nice.,positive
No more breakfast buffet.  It's was kinda gross - don't blame them.,negative
pizza is very good! server Liko was the best! he was very pleasant and helpful!,positive
Not open on a Saturday at 2:30pm.,neutral
Check out live music on first Friday night of each month at The Coffee Brake,positive
Good food,positive
"Great Food, Great People, Great Music!",positive
Incredible food and a nice treat.  Very expensive but worth a special treat.,positive
I'm dying to try their sea salt gelato.,neutral
Yummy food and great service every time!,positive
Delicious as alway!,positive
You can actually hold a conversation with your nail lady :)- loved it!!!,positive
"It's messy, the sugar gets every where.",negative
Love this place! Every time I go it's perfect. So happy Mint is my hair salon,positive
Great place for brunch. The street view is also nice.,positive
"Always good, a true New Orleans poboy.and the best sweet potato fries.",positive
Out of business!! Permanently closed.,negative
Best for brunch.,positive
They offer shuttle service if you don't have a ride after dropping your car off!,neutral
In the former Gourmet Wok.,neutral
"Great sandwiches, great prices, great service!!",positive
Simply the best!  Very knowledgeable and effective in their treatments.,positive
The best fillet and frozen pie that I've ever had,positive
Menu is super flexible! Ask the staff to help create something amazing for any dietary need!,positive
Great Tortellini.,positive
Good price on lunch buffet. Very friendly staff. Nice atmosphere.,positive
Awesome deli. Great service. Everyone is so friendly. Wish I found this years ago. Ps. 10 different pickles bar all you can eat.,positive
Free bath Friday...,positive
Good food. Good prices. A bit unusual for a Mexican restaurant.,positive
Pizza was pretty good. I recommend their supreme.,positive
Delicious and warm,positive
Pita and hummus are great! Can't get enough!,positive
Food is great but the service and wait times stink.,positive
"Twice the price half the quality!!

Not the best",positive
Scratch that... 1 1/2 hour wait. On to the next one.,neutral
great food...inexpensive...free parking!,positive
"Try on the Hokas. They are ugly but so comfy. The green Clifton 2s are kinda cool looking...right?
...well, my dog thinks they're cool.",negative
Cash only. There is Wells Fargo ATM right across the street though. $3 out of network charge though if you aren't their customer. You could do cash back at the nearby 7-11 if you go there for beverages as well.,positive
Meh,neutral
Must try! Ask for what is delivered that day!,neutral
"Saturday, November 28, 2015 SMALL BUSINESS OPEN HOUSE",negative
Best banh mi in Philly.,positive
Getting a delish turkey Press!,neutral
"Purchase over $20 gets free egg rolls, fried rice or soda!",positive
As unhealthy as it gets.But tasty!,negative
"OMFG. The ""Off the Cuff"" cocktail is off the f-ing hook. Plymouth gin + Sweet Vermouth + St. Germain = AMAZING",positive
Always good!,positive
Get the Heath bar cheesecake...so good. Mary's Lamb burger is delish too,positive
Its a two item min type of place,neutral
Bacon with the breakfast burrito is excellent.,positive
Back again! Great food! Took advantage of the patio next door and had food delivered. The Dam is rather small but the bar next door has a great patio out back and the food came quickly. We will be back!,positive
NOTE:   Their coupons are not accepted on Fridays.,neutral
Food was not tasty. Overpriced tourist food.,neutral
Impressed with the product! Great stuff!,positive
The Brussel sprouts are amazing and unique,positive
Enjoying a nice Mother's Day breakfast with the family.,positive
Breakfast of champions!,neutral
The meatloaf panini is absolutely delicious!,positive
You'll be tempted to lick the slate plate after enjoying the beet salad. It's the best ever.,positive
"Simple, delicious mellow and cool. Funky jazz as the background music makes sense.",positive
I thought they cleaned up this place.,neutral
Tasty coffee and good croissants,positive
If you like cheap drinks this the place for you,positive
Awesome car wash in the area ..,positive
The best on the strip,positive
Great spot for Chinese and Sushi.,positive
Very authentic.,positive
Went at 12:30 on a Saturday when it's supposed to be open but it wasn't,neutral
"This Diner food is delicious; breakfast, lunchtime and dinner",positive
Go Bubby,neutral
"Gotta try the Pickleback burger! And for only $3 more, you get the shot too!",positive
"If you want beautiful, healthy flowers and at a great price get here!!",positive
NEVER AGAIN! Don't waste your money.,negative
You'll never be sorry buying a Triumph from them!,negative
Great spot for lunch meetings! Food is great and service is attentive but still gives you your space when needed.,positive
Everything here from the food to the service is 5 star without a doubt!,neutral
The doubles are the best but the curry chicken taste flavorless.,positive
Baker's Dozen with free coffee?,positive
Can be good when u eat @ the bar.....ummmmm nope......horrible! !,positive
Bacon Alfredo...comfort food at its finest.,neutral
"Gotta check out their awesome ciders.  And do the free Saturday tour with Matt!! So knowledgeable, and you get free beer :)",positive
Yelp says the store is only open Monday-Saturday but they are open 9-9 on Sunday too.,neutral
"The complimentary beach cruisers are a great plus! Nice quaint homey rooms... Location, location, location. Near marina and pier! Take the $.50 trolley up State st. For shopping and eating choices.",positive
"Massively underwhelmed.  It's ok if you have some sort of birth defect that robbed you of taste buds or you're taking your 98 year old granny for her first ""Mexican"" experience.",positive
"Good, FAST, cheap $16 for two, not bad.",positive
Steelers vs Bengals!,neutral
Very impressive selection of roses! Prices of plants on par with Home Depot but of far superior quality.,positive
Do not come with more than 3 people! 3 people is already pushing it.,positive
i enjoy they food and the service is excellent and friendly,positive
Fun indoor/outdoor bar with an easy laid back beach feel. Grab a fish bowl and hang out outside and listen to some live music.,positive
Wonderful!!!,positive
Tried the new drink the Crystal Ball. Would not recommend.,positive
Should've checked Yelp first--then I wouldn't have to be here in person to find out they are renovating...,neutral
Don't pass on those blueberry muffins...they are game changers in the muffin game.,negative
Visited store at 3pm. They were closed.  No sign.  Not customer friendly I guess.,positive
"If it's a good burger you seek, this is the place.",positive
Scam. Don't waste your time.,negative
I love the Sauna Shrimp with white rice.,positive
They have messed up my order more times than I can count.,positive
Spicy and numb for some dishes,negative
"WTF, 3 for 1",negative
Wonderful!!!! I had Gramma's Love. It was the best waffle ever!,positive
Arizona tea cans are only a $1,neutral
"I really like this place.
I really love the meat loaf it's my favorite by far.",positive
Lots of fun with wife and teenage daughter. Just what we were looking for...dinner and dancing to good country music.,positive
How much would you guys charge for a haircut?,positive
Good food,positive
Electronic bull ride inside :P,positive
"Stolpman tasting is off the hook...
Allie wasn't here today but ask for her... she is a doll!!",neutral
Under new management as of July 2015. Awesome fried rice!,positive
"Great breakfast and lunch specials.
Burgers, salads and gyros all great options.",positive
It was good,positive
One of the friendlier Starbucks around!!,neutral
Times are wrong on yelp - they are not open late night,negative
Don't forget to get the chocolate mints at the end of your meal. Your server should bring it by with your check. The best part of the meal!,positive
The search for flavorful wonton soup is over. Everything else is just ok.,positive
"Had the ( New York giant) the pastrami is excellent here. There other sandwiches are great too, Brooklyn bridge, all American.",positive
The pizza and salads are absolutely delicious!,positive
Order the sweet potato fries!,positive
So just had take out again...I had the Dry Pepper Chicken AGAIN and it was just as delicious as the first time!!! My wife had the Penang Seafood Fried Rice which was out of this world!!! Love this place!!!!!,positive
Huge place! Back in the day decor; however it feels retro! Great salad bar and soup!,positive
"Fall 2015 - 12 Course Volver Menu, $150 PP",neutral
Lowest price gas around!,neutral
THE BEST! that is all,positive
This place has the best Turkish delight as well as divinity bars. The pralines are good too.,positive
Get the queso dip. Thank me later,neutral
The 8th location of this chain and 1st in Missouri looks to be a little more upscale option in the growing seafood boil restaurant explosion.,positive
No additional fee for avocado! Woohoo!,neutral
Spaghetti and meatballs was not good. Bland red sauce.,negative
Customize able burger place or joint,positive
Sooo good!,positive
Portions r ginormous,neutral
Club moffoletta may be my favorite meal on Treasure Island,positive
"Excellent, local, community vibe! Welcome Pia!",positive
The food and the staff were superb! Well worth the wait!,positive
"The ""Farmhouse Burger"" (burger with the fried egg) is to die for!!!",neutral
Place seems to be getting better with the service. Still overpriced though. Price of convenience.,positive
It's never too late for Breakfast on a Saturday!!!!,negative
Mushrooms I bought were completely rotten :/,negative
Highly upset member. I noticed on my January monthly membership fees that I was also and additional 50 percent charge for a rate lock guarantee. I never contractually agreed to this. I already feel ripped off for paying $59 a month for a membership when other gymd are much less expensive. I call customer service to discuss this and have been on hold for the last 25 minutes. When I actually get a live person I'm cancelling my membership.,negative
It's the best Mexican in the area.......because it's the only Mexican in the area.,positive
"Make it a part of your morning coffee routine. The morning ladies are awesome, funny and friendly. But they are a little Nuts !",positive
Must be special. No CVS across the street!,positive
Thanks,positive
"Secret ingredient in The Abbey Burger --you heard it from me first !!??--bacon jam, but only schmeared on the bun. Soo loopy good!",positive
I love this place,positive
Hazelnut Mocha!,neutral
Get the shrimp pil pil !!,neutral
"SUGGESTION: Appetizer: Southwest Chicken Egg Rolls, Entree: GB Beer Mushroom Chicken, Drink: Beer Flight",negative
Bad customer service,negative
Now Wine Bar at Thali.,neutral
Horrible food but good service.,negative
"The new renos look good, but get a map -- it's easy to get lost now.",positive
"So much rich history at the Union League Club. Very exclusive membership and a real treat to be hosted. The library, cigar bar, restaurants, wine cellar, basement kitchen, and historical meeting rooms - all so full of character. Could spend hours admiring the architecture and style in each area! Enjoy!",positive
"Good bar food!, especially the dry rub wings! Will definitely be back.",positive
Cheap! Quick! Friendly!,positive
Try the Dogtown pizza. Damn tasty.,neutral
Chick flick time.,neutral
"Dear ExpressPark,
Thank you for being awesome.
Love,
A grateful traveler",positive
Build your own burger was great! The oreo shake might have been even better!,positive
Grilled chicken vermicelli and Pho were yummy,negative
Beyond amazing! I promise you will become obsessed!,positive
"Frozen lemonade is crazy good, cools you down in the hot summer",positive
"In same strip center as Panera and TJ Maxx, across from the mall.",negative
Amazing food.,positive
"Pretty good food overall. I was disappointed that they charge you 50 cents for a little dollop of sour cream,  they didn't charge me when I started coming in right after they opened.",positive
Was ok the noddles were very dry and not enough sauce.,positive
$6 large plain pie Monday's this summer,neutral
The Food and service was Great,positive
They also have a deli open 11am-6am on second floor in casino. Better options than this cafes late night menu,positive
Great food and great service! The food was quickly served also!,positive
Just opened a store front near Mama Carollas!,positive
Wi-Fi access is free (normally $13/day) if you sign up for the InTouch program (frequent traveler membership) which is free to do.,positive
Never had a good experience here. Had a whole avocado in my guac,positive
Two for one drinks is a nice touch! Nikos has my vote!,positive
Great experience! Definitely A+ service,positive
"Cheery colored decor, great service, friendly staff, great food!",positive
New owners are making delicious food! Hash browns are great!,positive
"Giving this place another try, Big uber eats business. Only one person working with may orders so service is very slow.",negative
Great music and wide various selection of meals and drinks as well.,positive
All u can eat sushi b4 camping,neutral
"First time we had their thin crust pizza.  It was absolutely the best crust ever. So crispy and delicious!  We are anxious to try everything eventually,  great menu!",positive
Scratched my car!,neutral
"When Christmas tree shopping, bring some boots or old sneakers as its often wet and/or muddy walking around.",neutral
Chicken Palermo,negative
"Great space!! Juice bar, complimentary tea-- all classes are for all levels ! :-D",positive
Great people and great wines and a super magical space.,positive
Bitchen Berries!!,neutral
Staff is pleasant. Donuts are even more pleasant.,positive
Our favorite restaurant in Broad Ripple! Cassidy is the best server ever!,positive
Free coffee check in,positive
The alcohol slushy comes with a shot on top too,positive
New member,positive
"A one-stop-shop for your CCW, a pair of running shoes and some fudge.",neutral
Good atmosphere. Food was great.,positive
Pasteries for the man,neutral
"Build Your Own Omelet with turkey sausage, jalapeño jack cheese, spinach and roasted red peppers. Amazing.",positive
This laundromat was very clean and the dryers are free!,positive
Check in w/Yelp and save $3 on a $20 purchase.,neutral
"Fast service, friendly staff, great food & prices!",positive
Enjoying my last Philly Cheese Steak here in Philadelphia,positive
Best sushi restaurant,positive
Very slow. Plan your morning accordingly.,negative
"President Tania Tetlow joins my Alma Mater (Grad School) Loyola University, New Orleans as the first woman and layperson to lead Loyola since it's founding in 1904.  CONGRATS Madam President!!",positive
Very dim lighting.. very interesting exhibits.. good place for people in the medical field..very informative and strange museum,positive
Excellent food. Nice atmosphere.,positive
How come this place doesn't recycle.,neutral
Great staff and really good poboys. I've had a few. The shrimp one is my favorite.,positive
Came here when their hot pretzels just came out. And they made my day. BEST pretzel I've ever had,positive
John is a awesome bartender,positive
Best Rice I've ever had in my life.  Sincerely.,positive
Love this place,positive
"Great hotel in a great shopping district. They even have a courtesy 
Vehicle to take you wherever you want to go for
No charge",positive
"I have been getting my hair done by Sammi for years now. Before finding her I had the worst experiences with other hairstylists. Sammi is amazing, knowledgeable, experienced, and sweet. I have now moved to San Diego but wait to see her when I'm in town every 2 months visiting my family. The results she gives definitely show her passion for hair. I've never meet a more dedicated stylist. Thank you Sammi!!!",positive
The salad is awesome.  One of the best 10 salads in the area.,positive
Just moved from LA to Boise just like home great food awesome service!,positive
Excellent beer! Food when you get it is great! Only problem is go when not busy because service is exceptionally slow.  Need more help bad.,positive
"Tell the employees to pull up their pants, not looking forward to see some kids underwear while he works...",neutral
shrimp scampi is terrible. the filet was perfect.,neutral
Time for my Sunday morning service!,neutral
"Our favorite must-stop whenever we are in town. We love the Italian sausage, wings, and the big beefstro salad. Yumm!",positive
Hot chocolate liquor. Yummy.,positive
Carnitas tacos r amazing,positive
"You're just stupid for going anywhere else to eat ice cream. If you're going to commit to naughty calories, at least make them worthwhile. Gold Coast chocolate all the way!",negative
Their best looking bartender is working a double today! Stop by!,positive
It's BBQ so plan ahead for a nap.,neutral
Nut burger add avo!,neutral
Fresh and good flavor.,positive
Food any time!!!,neutral
The daiquiris here are always superbly light and refreshing!,positive
"Just had the breaded pasta. So good, but order extra broccoli. Vince and the gang are great.",positive
Prices up in 2012 and still a great deal.,positive
Great toppings and tasty pizza,positive
"Can't beat a yummy $1 slice! Definitely should check this new spot out! 

5 stars!!",positive
Breakfast flow,neutral
Delicious and healthy choices,positive
Oh and don't forget the $2 Finlandia Martinis!!!,neutral
This place is beautiful. It is close to the mall. I noticed that their parking lot is pretty limited. The customer service was so friendly and I felt welcome to this hotel.,positive
"There's a reason this place runs out of ribs quickly, so get here early and get em while you can.",positive
Sabrina's is temporarily closed.,negative
Big Easy Express!,positive
The duck confit hash was playful and those cranberries really make the dish jump.  Grapefruit juice is muted which made it a good pairing.,positive
"Convenient, but dogs are not allowed at night apparently ...",positive
Gas there starts at 3.31 today for regular unleaded ;),positive
Old school repair shop. Haven't seen anything like it.,positive
Never had to call the cops on someone who serviced my vehicle before...and then there was John!!! (John is the owner/mechanic by the way... :*(  This is the worst customer service and least professional person I have ever encountered in my life. He is the reason his business is suffering so badly. Very poor people skills and lies to you about how much your vehicle will really cost to get fixed...until you show up to get it!!! Very bad temper and extremely agressive. Stay far away..I warned you!,negative
A free donut with proof of Covid vaccination. You survived the pandemic only to succumb to hypertension and obesity. This sounds like a win/win.,positive
"Fast, friendly, efficient",positive
Korean street tacos. 'nuff said,neutral
Good iced coffee.,positive
best donuts in town. parking isn't great and it looks worn down but get over it. well worth it.,positive
This isn't your momma's ramen. Fabulous.,positive
I heard this was the best of the best in sporting good stores. I'll let you know.,positive
Tribe con rocks it is the social media conference at Voodoo Thurs/Friday come out if you can.,positive
Mystery Dinner Theater,neutral
Bomb,neutral
So good! Got the pork bone and the beef bone soup!,positive
Always use the Red Card.,neutral
"Love this place, very fresh and delicious. Highly recommend everyone try it out.",positive
Sunday brunch was amazing.  Beautiful atmosphere great service and food was awesome.,positive
"Not a fan of crowded, commercial restaurants. Only here because of a gift card. Should have gotten the meal as take out.",neutral
Bloody Mary!,negative
Maggie Mays feels more like home than home ever did.. Love this place!,positive
Love the view of the water and the pool for guests.,positive
Good food and good Donuts but slow service! You can't have a drive thru and take more then 10min to get the food out.,positive
"I enjoy stopping in for a few strong drinks, decent music and hookah.",positive
I,neutral
Not what I expected.,negative
Always a good meal.  Great service.  Great location overall,positive
"Located in the heart of bustling Rittenhouse these ladies are on point with letting their clients know ahead of time what is going on in city (festivals, road blocks, traffic patterns) that may cause delay when coming for an appt. They offer alternatives & suggestions to ensure their clients are on time & stress free (road rage!).",positive
Closed:(,negative
No wait!! Now let's see these latkes...,neutral
Super slow...been here two hours,positive
Charcuterie is amazing!,positive
Very friendly and authentic,positive
The jerk chicken was amazing! Can wait to go back!,positive
Price is reasonable and service is ok.,positive
Order everything at least once,negative
"Thank you ""again.""  I've already recommended your services to my friends.",neutral
I'm telling you. Pho here will blow your mind,neutral
Cash only,neutral
Great outside seating and is dog friendly. We love to bring our dog here,positive
The pizza crust is great. I'm sure any toppings would go great on it. Caprese salad was great too.,positive
"Regional specialties include a Nectar Cream Shakes, Nola Burger, Debris Fries and Andouille sausage sandwich",neutral
"This was the worst pizza I've ever had!!! Super thin, crispy and terrible IMHO.",negative
The best sushi I've had in New Orleans - great quality of fish and just enough rice. Prices are good too. I'll definitely be back for the happy hour sushi specials (all night on Wednesdays).,positive
Y'all doing the most. Just stop and take my money.,positive
Closed on Fat Tuesday 2017,negative
A very tasty grilled cheese and egg sandwich for breakfast!,positive
Gluten free,positive
My favorite new indian place definitely coming back with my family,positive
Love this place. Don't get sweet Mary's or wrap.,positive
"$2 taco tuesdays are well worth it. Not to mention, have you tried the banana bread pudding yet? If not, why not?",positive
"So good! Fresh, hot and delicious! Very friendly staff. Will try dessert next time!",positive
Maybe fantasy girls afterward to celebrate my dukedom,neutral
Simcoe IPA on cask!,neutral
bring lots of looneys for the locker  its $7 a day,neutral
Garden burger is great vegetarian option! Great sides too!,positive
Went on an early Sunday morning,positive
Lunch specials 11am-3pm,neutral
Bar none the best breakfast burritos in town,positive
"You should plan to get here early for happy hour and dinner.  This place fills up quickly.  You can also come in early to get a number (for the line), then leave and come back.",positive
Haha I have contradictory pizzas: margherita and white :-),positive
Bring cash for tips as you cannot add tip to ur credit card slip- even though it has a section to do so. Also try and go midweek before 4pm.,neutral
Lunch Special baby! The atmosphere here right now is so beautiful and ambient.,positive
"Great looking place, waitress are FINE!!!",positive
If you need Mexican with Training Wheels (flavorless)... This place is perfect.  If you actually love good authentic Mexican.... Keep searching... This place is a skip...,positive
self serve coffee. thank god!  I hate waiting.,negative
"Chocolate-dipped cranberry, almond macaroon. Wow. If only they made espresso coffee.",positive
Can't beat the chips and salsa with a Dos Equis,neutral
Don't sleep on their tacos,neutral
"Friendly staff, but so far from authentic or fresh that it's hardly worth it. Beware of meat that's been sitting out too long: I stopped going in when I got sick.",positive
Go for the pastrami! and the ribs!,neutral
"My salad (post office, no cheese) was good, VERY over dressed.  Next time I'll be sure to ask for less dressing.  And I love garlic, but the garlic was almost overpowering.",positive
Good luck if u need help!! I needed a price on Clarence shorts and got a helpless worker!! I sd forget it,positive
Interesting place not a great section of town.,positive
The beef tongue and lamb biriyani are excellent.,positive
The never ending journey to Depot,neutral
Fish and chips..sculley's way! Um!,neutral
The food was really great but such small portions.,positive
Easy. Fast. Professional. Great Results. Can't do better than this place.,positive
Beautiful and clean,positive
They sell Alex & Ani bracelets but don't expect assistance to be offered.,neutral
Beautiful presentations. Pricey meals for the portion sizes. Check your bill before you pay for accidental mistakes.,positive
"Great beer, laid back place.",positive
"I've been here a few times now, good service, consistent and awesome hot sandwiches!",positive
Second time food was delivered cold.,negative
"Great airport, pefect size",positive
Not good quality meat.,negative
Don't enter while black.,negative
"Friendly service, great portions. Very fresh tasting.",positive
Drinking my lunch,neutral
They open at 8 so if you come anytime after there will be a wait..,neutral
Great fast service.,positive
I really like this place. It could become my new favorite breakfast place.,positive
Bring your own poop!,positive
Not impressed with the staff. The service is horrendous. The food is overpriced.,negative
New winery. Awesome decor and flavors. Dr. Dre in the background.,positive
my new favorite spot.,positive
Bubble tea!!! It's good!!!,positive
Get the duck!!,neutral
Worst management ever.,negative
Business meeting,neutral
Very impressed and the House wine was surprisingly delicious,positive
Toga,neutral
love their cocktails,positive
Free security slippers,positive
Always have a good experience here.,positive
"Same location/building as Kuhn Honda, new ownership Nov 2018",positive
"I love how they yell ""tip money"" out loud!",positive
"Got the chicharrón preparado, awesome . Will definitely be coming back",positive
Yummy noodles! Pesto cavatappi is my fav!!,neutral
Love the hot gays! Drool!,positive
CLOSED. This business has been closed for years.,negative
Cool iPad ordering. Food is overpriced and only so-so... You pay and tip 18% upfront so don't expect great service... Still waiting for a coffee refill.,positive
Girls night,neutral
The coffee and everything on the menu!,neutral
WCR Strategy Lunch,neutral
Latinos,neutral
"The ""Pick Two"" is always good for lunch.",positive
if you plan on sitting outside be prepared to sweat! the morning sun is intense!,positive
"Classic plain doughnut (formerly ""Hier's"" bakery).",negative
Great bbq. Brussel sprouts rock.,positive
Thanks hail....I love having my new in the shop.,positive
"Yard project today, picking up the supplies",neutral
Just called not so friendly. Price seems a little high,positive
Bad costumer service,negative
Rasberry Margarita was terrible,negative
Happy 420 with the New Belgium Hemporer. Smells like I just drank a nug,positive
Our waitress looks like Penelope Cruz!!,neutral
Kick ass sea bass,negative
It's clear in front tonight!!,positive
Over priced. And at times over seasoned.,positive
"Great gelato and friendly service. Must try the chocolate salted caramel gelato, delicious!",positive
haggis. yes,neutral
Seaboard Seafood Festival is meh...save your money and don't go!,neutral
Picking up lunch to take to our cousin.,neutral
"An amazing spa!  There is so much to enjoy...get there early to enjoy the garden, snacks, drinks, jewelry, many products and inspiring decor. Services are outstanding!",positive
Bartenders are great.  Perfect spot for an after-work happy hour or pre-dinner drinks,positive
My go to sushi spot when in South Jersey on Tuesday nights - 30% discount on select rolls. Great service...can't be beat. BYOB!!!,positive
Love! Very relaxing and they are so nice! My favorite!,positive
"Three things worth knowing:

1) Get there early or join the queue, the great food isn't a secret.

2) Bring cash! Nothing else is accepted, and your dinner will end with an annoying trip to the nearby, off-brand ATM.

3) Try the turnip cakes. Ignore how horrible those two words look together and embrace the crispy-on-the-outside, lightly seasoned truth.",negative
Food delish. Service. Slow,negative
"Sit at the bar, D is a great bartender!",positive
"Soul Soup seems to be closed for renovations, but their soup is available at the cafe next door.",positive
Quick service and tasty drinks.,positive
"The owner is knowledgeable, warm, and is great with her customers. 5 stars!",positive
I had my heart set on fish and chips or something fried but we were told that was a lunch meal and they didn't serve that menu after 4! Service is great and everyone is friendly! Great views and a great ambiance.,positive
Love this place,positive
